"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.21","192.168.0.20","TCP","74","58200  >  22 [SYN] Seq=0 Win=64860 Len=0 MSS=1410 SACK_PERM TSval=2464991449 TSecr=0 WS=128"
"2","0.000607","192.168.0.20","192.168.0.21","TCP","74","22  >  58200 [SYN, ACK] Seq=0 Ack=1 Win=5592 Len=0 MSS=1410 SACK_PERM TSval=65614202 TSecr=2464991449 WS=128"
"3","0.000636","192.168.0.21","192.168.0.20","TCP","66","58200  >  22 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=2464991450 TSecr=65614202"
"4","0.000655","192.168.0.21","192.168.0.20","SSHv2","88","Client: Protocol (SSH-2.0-libssh_0.8.7)"
"5","0.001013","192.168.0.20","192.168.0.21","TCP","66","22  >  58200 [ACK] Seq=1 Ack=23 Win=5632 Len=0 TSval=65614202 TSecr=2464991450"
"6","0.012646","192.168.0.20","192.168.0.21","SSHv2","104","Server: Protocol (SSH-2.0-OpenSSH_4.7p1 Debian-8ubuntu1)"
"7","0.012658","192.168.0.21","192.168.0.20","TCP","66","58200  >  22 [ACK] Seq=23 Ack=39 Win=64896 Len=0 TSval=2464991462 TSecr=65614203"
"8","0.014295","192.168.0.21","192.168.0.20","SSHv2","738","Client: Key Exchange Init"
"9","0.014536","192.168.0.20","192.168.0.21","SSHv2","850","Server: Key Exchange Init"
"10","0.016735","192.168.0.21","192.168.0.20","SSHv2","338","Client: Diffie-Hellman Key Exchange Init"
"11","0.049914","192.168.0.20","192.168.0.21","TCP","66","22  >  58200 [ACK] Seq=823 Ack=967 Win=8320 Len=0 TSval=65614207 TSecr=2464991466"
"12","0.052414","192.168.0.20","192.168.0.21","SSHv2","914","Server: Diffie-Hellman Key Exchange Reply, New Keys"
"13","0.060447","192.168.0.21","192.168.0.20","SSHv2","82","Client: New Keys"
"14","0.060764","192.168.0.20","192.168.0.21","TCP","66","22  >  58200 [ACK] Seq=1671 Ack=983 Win=8320 Len=0 TSval=65614208 TSecr=2464991509"
"15","0.060776","192.168.0.21","192.168.0.20","SSHv2","118","Client: Encrypted packet (len=52)"
"16","0.060976","192.168.0.20","192.168.0.21","TCP","66","22  >  58200 [ACK] Seq=1671 Ack=1035 Win=8320 Len=0 TSval=65614208 TSecr=2464991510"
"17","0.060985","192.168.0.20","192.168.0.21","SSHv2","118","Server: Encrypted packet (len=52)"
"18","0.061564","192.168.0.21","192.168.0.20","SSHv2","134","Client: Encrypted packet (len=68)"
